id_traj,t [s],x [cm],y [cm]
1,0.0,-0.004729692118462576,0.0
1,0.04,-0.0038818214731908634,0.045642002143422816
1,0.08,0.0197870502437942,0.09086006896420912
1,0.12,0.043455921960776675,0.13607813578499672
1,0.16,0.0899457947494725,0.18087226728314654
1,0.2,0.11361466646645756,0.22609033410393414
1,0.24,0.11403860178909148,0.24891133517564618
1,0.28,0.13770747350607523,0.2941294019964325
1,0.32,0.16137634522305902,0.3393474688172188
1,0.36,0.18504521694004278,0.3845655356380064
1,0.4,0.23153508972873865,0.4293596671361588
1,0.44,0.25478002612308714,0.45175673288523305
1,0.48,0.27844889784006965,0.49697479970602065
1,0.52,0.2788728331627062,0.5197958007777314
1,0.56,0.30254170487968923,0.5650138675985205
1,0.6,0.326210576596673,0.6102319344193067
1,0.64,0.34945551299102035,0.6326290001683809
1,0.68,0.3731243847080041,0.6778470669891697
1,0.72,0.3963693211023526,0.700244132738244
1,0.76,0.44243525856841126,0.7222172631646844
1,0.8,0.46568019496275853,0.7446143289137599
1,0.84,0.4893490666797423,0.7898323957345476
1,0.88,0.5358389394684362,0.834626527232696
1,0.92,0.5590838758627846,0.8570235929817729
1,0.96,0.5827527475797679,0.9022416598025618
1,1.0,0.5831766829024044,0.9250626608742712
1,1.04,0.6064216192967524,0.9474597266233482
1,1.08,0.6068455546193874,0.9702807276950589
1,1.12,0.6305144263363719,1.0154987945158465
1,1.16,0.6313622969816438,1.0611407966592692
1,1.2,0.6322101676269154,1.1067827988026921
1,1.24,0.6558790393438991,1.1520008656234784
1,1.28,0.6567269099891728,1.1976428677669024
1,1.32,0.6799718463835187,1.220039933515978
1,1.36,0.6808197170287911,1.2656819356593996
1,1.4,0.681667587674064,1.3113239378028236
1,1.44,0.6825154583193351,1.3569659399462453
1,1.48,0.706184330036319,1.4021840067670341
1,1.52,0.7070322006815911,1.4478260089104569
1,1.56,0.7074561360042265,1.470647009982169
1,1.6,0.7083040066494996,1.5162890121255905
1,1.64,0.7087279419721358,1.539110013197304
1,1.68,0.7095758126174065,1.5847520153407266
1,1.72,0.7099997479400428,1.6075730164124362
1,1.76,0.7108476185853153,1.6532150185558627
1,1.8,0.6888744881588756,1.6992809560219195
1,1.84,0.6892984234815128,1.7221019570936302
1,1.88,0.6901462941267839,1.7677439592370532
1,1.92,0.6905702294494204,1.7905649603087652
1,1.96,0.6681731637003442,1.8138098967031138
1,2.0,0.6457760979512692,1.8370548330974623
1,2.04,0.623379032202193,1.8602997694918082
1,2.08,0.5781609653814067,1.8839686412087933
1,2.12,0.5785849007040432,1.9067896422805042
1,2.16,0.5561878349549672,1.9300345786748514
1,2.2,0.5566117702776023,1.9528555797465634
1,2.24,0.5337907692058909,1.9532795150692
1,2.28,0.5109697681341788,1.9537034503918351
1,2.32,0.48857270238510453,1.9769483867861823
1,2.36,0.4433546355643169,2.0006172585031647
1,2.4,0.4209575698152414,2.0238621948975135
1,2.44,0.3985605040661665,2.0471071312918605
1,2.48,0.3761634383170909,2.0703520676862093
1,2.52,0.3537663725680141,2.0935970040805563
1,2.56,0.330945371496304,2.0940209394031943
1,2.6,0.3089722410698643,2.1400868768692525
1,2.64,0.30939617639250083,2.1629078779409623
1,2.68,0.28699911064342526,2.1861528143353115
1,2.72,0.24220497914527478,2.232642687124006
1,2.76,0.21980791339619798,2.255887623518353
1,2.8,0.19741084764712175,2.279132559912701
1,2.84,0.19825871829239344,2.3247745620561235
1,2.88,0.1758616525433185,2.3480194984504723
1,2.92,0.15346458679424235,2.3712644348448193
1,2.96,0.1310675210451681,2.3945093712391654
1,3.0,0.1314914563678046,2.4173303723108788
1,3.04,0.10951832594136424,2.463396309776938
1,3.08,0.13318719765834802,2.5086143765977216
1,3.12,0.13361113298098323,2.5314353776694363
1,3.16,0.13403506830361978,2.554256378741147
1,3.2,0.15770394002060223,2.5994744455619347
1,3.24,0.15855181066587587,2.645116447705358
1,3.28,0.15939968131114693,2.690758449848779
1,3.32,0.16024755195641927,2.7364004519922016
1,3.36,0.16109542260169232,2.782042454135627
1,3.4,0.18476429431867544,2.827260520956415
1,3.44,0.20800923071302144,2.849657586705489
1,3.48,0.2088571013582944,2.8952995888489124
1,3.52,0.23252597307527817,2.9405176556697006
1,3.56,0.2557709094696261,2.962914721418775
1,3.6,0.27943978118660984,3.0081327882395628
1,3.64,0.2798637165092451,3.030953789311279
1,3.68,0.32635358929794156,3.075747920809426
1,3.72,0.3500224610149247,3.1209659876302136
1,3.76,0.3736913327319084,3.1661840544509996
1,3.8,0.39736020444889153,3.2114021212717847
1,3.84,0.42102907616587465,3.2566201880925725
1,3.88,0.4442740125602232,3.2790172538416504
1,3.92,0.49076388534891846,3.3238113853398
1,3.96,0.5372537581376134,3.368605516837951
1,4.0,0.5609226298545973,3.4138235836587376
1,4.04,0.5841675662489438,3.4362206494078134
1,4.08,0.6074125026432926,3.4586177151568873
1,4.12,0.6534784401093506,3.4805908455833254
1,4.16,0.6767233765036991,3.5029879113324047
1,4.2,0.7227893139697583,3.5249610417588437
1,4.24,0.7688552514358177,3.546934172185284
1,4.28,0.7921001878301643,3.569331237934361
1,4.32,0.8153451242245124,3.5917283036834338
1,4.36,0.8385900606188602,3.6141253694325095
1,4.4,0.8842320627622823,3.613277498787238
1,4.44,0.9294501295830707,3.589608627070254
1,4.48,0.9518471953321455,3.5663636906759066
1,4.52,0.9974891974755682,3.5655158200306363
1,4.56,1.0203101985472798,3.5650918847079973
1,4.6,1.0431311996189911,3.5646679493853632
1,4.64,1.0431311996189911,3.5646679493853632
